name,z_points,r_points
DoubleConic_PrimaryLV_5_Gold,900 899.2 898.4 897.6 896.8 896 895.2 894.4 893.6 892.8 892 891.2 890.4 889.6 888.8 888 887.2 886.4 885.6 884.8 884 883.2 882.4 881.6 880.8 880 879.2 878.4 877.6 876.8 876 875.2 874.4 873.6 872.8 872 871.2 870.4 869.6 868.8 868 867.2 866.4 865.6 864.8 864 863.2 862.4 861.6 860.8 860 859.2 858.4 857.6 856.8 856 855.2 854.4 853.6 852.8 852 851.2 850.4 849.6 848.8 848 847.2 846.4 845.6 844.8 844 843.2 842.4 841.6 840.8 840 839.2 838.4 837.6 836.8 836 835.2 834.4 833.6 832.8 832 831.2 830.4 829.6 828.8 828 827.2 826.4 825.6 824.8 824 823.2 822.4 821.6 820.8 820 819.2 818.4 817.6 816.8 816 815.2 814.4 813.6 812.8 812 811.2 810.4 809.6 808.8 808 807.2 806.4 805.6 804.8 804 803.2 802.4 801.6 800.8 800,40.3632 40.3532 40.3433 40.3334 40.3235 40.3135 40.3036 40.2937 40.2837 40.2738 40.2639 40.254 40.244 40.2341 40.2242 40.2142 40.2043 40.1944 40.1845 40.1745 40.1646 40.1547 40.1448 40.1348 40.1249 40.115 40.105 40.0951 40.0852 40.0753 40.0653 40.0554 40.0455 40.0355 40.0256 40.0157 40.0058 39.9958 39.9859 39.976 39.966 39.9561 39.9462 39.9363 39.9263 39.9164 39.9065 39.8966 39.8866 39.8767 39.8668 39.8568 39.8469 39.837 39.8271 39.8171 39.8072 39.7973 39.7873 39.7774 39.7675 39.7576 39.7476 39.7377 39.7278 39.7178 39.7079 39.698 39.6881 39.6781 39.6682 39.6583 39.6484 39.6384 39.6285 39.6186 39.6086 39.5987 39.5888 39.5789 39.5689 39.559 39.5491 39.5391 39.5292 39.5193 39.5094 39.4994 39.4895 39.4796 39.4696 39.4597 39.4498 39.4399 39.4299 39.42 39.4101 39.4001 39.3902 39.3803 39.3704 39.3604 39.3505 39.3406 39.3307 39.3207 39.3108 39.3009 39.2909 39.281 39.2711 39.2612 39.2512 39.2413 39.2314 39.2214 39.2115 39.2016 39.1917 39.1817 39.1718 39.1619 39.1519 39.142 39.1321 39.1222
DoubleConic_SecondaryLV_5_Gold,800 799.2 798.4 797.6 796.8 796 795.2 794.4 793.6 792.8 792 791.2 790.4 789.6 788.8 788 787.2 786.4 785.6 784.8 784 783.2 782.4 781.6 780.8 780 779.2 778.4 777.6 776.8 776 775.2 774.4 773.6 772.8 772 771.2 770.4 769.6 768.8 768 767.2 766.4 765.6 764.8 764 763.2 762.4 761.6 760.8 760 759.2 758.4 757.6 756.8 756 755.2 754.4 753.6 752.8 752 751.2 750.4 749.6 748.8 748 747.2 746.4 745.6 744.8 744 743.2 742.4 741.6 740.8 740 739.2 738.4 737.6 736.8 736 735.2 734.4 733.6 732.8 732 731.2 730.4 729.6 728.8 728 727.2 726.4 725.6 724.8 724 723.2 722.4 721.6 720.8 720 719.2 718.4 717.6 716.8 716 715.2 714.4 713.6 712.8 712 711.2 710.4 709.6 708.8 708 707.2 706.4 705.6 704.8 704 703.2 702.4 701.6 700.8 700,39.1222 39.0924 39.0626 39.0328 39.003 38.9732 38.9434 38.9136 38.8838 38.854 38.8242 38.7944 38.7646 38.7348 38.705 38.6752 38.6454 38.6156 38.5858 38.556 38.5262 38.4964 38.4666 38.4369 38.4071 38.3773 38.3475 38.3177 38.2879 38.2581 38.2283 38.1985 38.1687 38.1389 38.1091 38.0793 38.0495 38.0197 37.9899 37.9601 37.9303 37.9005 37.8707 37.8409 37.8111 37.7813 37.7515 37.7217 37.6919 37.6621 37.6324 37.6026 37.5728 37.543 37.5132 37.4834 37.4536 37.4238 37.394 37.3642 37.3344 37.3046 37.2748 37.245 37.2152 37.1854 37.1556 37.1258 37.096 37.0662 37.0364 37.0066 36.9768 36.947 36.9172 36.8874 36.8576 36.8279 36.7981 36.7683 36.7385 36.7087 36.6789 36.6491 36.6193 36.5895 36.5597 36.5299 36.5001 36.4703 36.4405 36.4107 36.3809 36.3511 36.3213 36.2915 36.2617 36.2319 36.2021 36.1723 36.1425 36.1127 36.0829 36.0531 36.0234 35.9936 35.9638 35.934 35.9042 35.8744 35.8446 35.8148 35.785 35.7552 35.7254 35.6956 35.6658 35.636 35.6062 35.5764 35.5466 35.5168 35.487 35.4572 35.4274 35.3976
DoubleConic_PrimaryLV_6_Gold,900 899.2 898.4 897.6 896.8 896 895.2 894.4 893.6 892.8 892 891.2 890.4 889.6 888.8 888 887.2 886.4 885.6 884.8 884 883.2 882.4 881.6 880.8 880 879.2 878.4 877.6 876.8 876 875.2 874.4 873.6 872.8 872 871.2 870.4 869.6 868.8 868 867.2 866.4 865.6 864.8 864 863.2 862.4 861.6 860.8 860 859.2 858.4 857.6 856.8 856 855.2 854.4 853.6 852.8 852 851.2 850.4 849.6 848.8 848 847.2 846.4 845.6 844.8 844 843.2 842.4 841.6 840.8 840 839.2 838.4 837.6 836.8 836 835.2 834.4 833.6 832.8 832 831.2 830.4 829.6 828.8 828 827.2 826.4 825.6 824.8 824 823.2 822.4 821.6 820.8 820 819.2 818.4 817.6 816.8 816 815.2 814.4 813.6 812.8 812 811.2 810.4 809.6 808.8 808 807.2 806.4 805.6 804.8 804 803.2 802.4 801.6 800.8 800,39.0358 39.0262 39.0166 39.007 38.9974 38.9878 38.9782 38.9686 38.959 38.9494 38.9398 38.9302 38.9206 38.911 38.9014 38.8918 38.8822 38.8726 38.863 38.8534 38.8438 38.8341 38.8245 38.8149 38.8053 38.7957 38.7861 38.7765 38.7669 38.7573 38.7477 38.7381 38.7285 38.7189 38.7093 38.6997 38.6901 38.6805 38.6709 38.6613 38.6517 38.6421 38.6325 38.6229 38.6133 38.6037 38.5941 38.5845 38.5749 38.5653 38.5557 38.5461 38.5365 38.5269 38.5173 38.5077 38.4981 38.4885 38.4789 38.4693 38.4597 38.4501 38.4405 38.4309 38.4213 38.4117 38.4021 38.3925 38.3829 38.3733 38.3637 38.354 38.3444 38.3348 38.3252 38.3156 38.306 38.2964 38.2868 38.2772 38.2676 38.258 38.2484 38.2388 38.2292 38.2196 38.21 38.2004 38.1908 38.1812 38.1716 38.162 38.1524 38.1428 38.1332 38.1236 38.114 38.1044 38.0948 38.0852 38.0756 38.066 38.0564 38.0468 38.0372 38.0276 38.018 38.0084 37.9988 37.9892 37.9796 37.97 37.9604 37.9508 37.9412 37.9316 37.922 37.9124 37.9028 37.8932 37.8836 37.8739 37.8643 37.8547 37.8451 37.8355
DoubleConic_SecondaryLV_6_Gold,800 799.2 798.4 797.6 796.8 796 795.2 794.4 793.6 792.8 792 791.2 790.4 789.6 788.8 788 787.2 786.4 785.6 784.8 784 783.2 782.4 781.6 780.8 780 779.2 778.4 777.6 776.8 776 775.2 774.4 773.6 772.8 772 771.2 770.4 769.6 768.8 768 767.2 766.4 765.6 764.8 764 763.2 762.4 761.6 760.8 760 759.2 758.4 757.6 756.8 756 755.2 754.4 753.6 752.8 752 751.2 750.4 749.6 748.8 748 747.2 746.4 745.6 744.8 744 743.2 742.4 741.6 740.8 740 739.2 738.4 737.6 736.8 736 735.2 734.4 733.6 732.8 732 731.2 730.4 729.6 728.8 728 727.2 726.4 725.6 724.8 724 723.2 722.4 721.6 720.8 720 719.2 718.4 717.6 716.8 716 715.2 714.4 713.6 712.8 712 711.2 710.4 709.6 708.8 708 707.2 706.4 705.6 704.8 704 703.2 702.4 701.6 700.8 700,37.8355 37.8067 37.7779 37.7491 37.7203 37.6915 37.6626 37.6338 37.605 37.5762 37.5474 37.5186 37.4897 37.4609 37.4321 37.4033 37.3745 37.3457 37.3168 37.288 37.2592 37.2304 37.2016 37.1727 37.1439 37.1151 37.0863 37.0575 37.0287 36.9998 36.971 36.9422 36.9134 36.8846 36.8558 36.8269 36.7981 36.7693 36.7405 36.7117 36.6829 36.654 36.6252 36.5964 36.5676 36.5388 36.51 36.4811 36.4523 36.4235 36.3947 36.3659 36.3371 36.3082 36.2794 36.2506 36.2218 36.193 36.1642 36.1353 36.1065 36.0777 36.0489 36.0201 35.9913 35.9624 35.9336 35.9048 35.876 35.8472 35.8183 35.7895 35.7607 35.7319 35.7031 35.6743 35.6454 35.6166 35.5878 35.559 35.5302 35.5014 35.4725 35.4437 35.4149 35.3861 35.3573 35.3285 35.2996 35.2708 35.242 35.2132 35.1844 35.1556 35.1267 35.0979 35.0691 35.0403 35.0115 34.9827 34.9538 34.925 34.8962 34.8674 34.8386 34.8098 34.7809 34.7521 34.7233 34.6945 34.6657 34.6368 34.608 34.5792 34.5504 34.5216 34.4928 34.4639 34.4351 34.4063 34.3775 34.3487 34.3199 34.291 34.2622 34.2334
DoubleConic_PrimaryLV_7_Gold,900 899.2 898.4 897.6 896.8 896 895.2 894.4 893.6 892.8 892 891.2 890.4 889.6 888.8 888 887.2 886.4 885.6 884.8 884 883.2 882.4 881.6 880.8 880 879.2 878.4 877.6 876.8 876 875.2 874.4 873.6 872.8 872 871.2 870.4 869.6 868.8 868 867.2 866.4 865.6 864.8 864 863.2 862.4 861.6 860.8 860 859.2 858.4 857.6 856.8 856 855.2 854.4 853.6 852.8 852 851.2 850.4 849.6 848.8 848 847.2 846.4 845.6 844.8 844 843.2 842.4 841.6 840.8 840 839.2 838.4 837.6 836.8 836 835.2 834.4 833.6 832.8 832 831.2 830.4 829.6 828.8 828 827.2 826.4 825.6 824.8 824 823.2 822.4 821.6 820.8 820 819.2 818.4 817.6 816.8 816 815.2 814.4 813.6 812.8 812 811.2 810.4 809.6 808.8 808 807.2 806.4 805.6 804.8 804 803.2 802.4 801.6 800.8 800,37.7084 37.6991 37.6899 37.6806 37.6713 37.662 37.6528 37.6435 37.6342 37.6249 37.6157 37.6064 37.5971 37.5878 37.5785 37.5693 37.56 37.5507 37.5414 37.5322 37.5229 37.5136 37.5043 37.4951 37.4858 37.4765 37.4672 37.458 37.4487 37.4394 37.4301 37.4209 37.4116 37.4023 37.393 37.3838 37.3745 37.3652 37.3559 37.3467 37.3374 37.3281 37.3188 37.3095 37.3003 37.291 37.2817 37.2724 37.2632 37.2539 37.2446 37.2353 37.2261 37.2168 37.2075 37.1982 37.189 37.1797 37.1704 37.1611 37.1519 37.1426 37.1333 37.124 37.1148 37.1055 37.0962 37.0869 37.0776 37.0684 37.0591 37.0498 37.0405 37.0313 37.022 37.0127 37.0034 36.9942 36.9849 36.9756 36.9663 36.9571 36.9478 36.9385 36.9292 36.92 36.9107 36.9014 36.8921 36.8829 36.8736 36.8643 36.855 36.8458 36.8365 36.8272 36.8179 36.8086 36.7994 36.7901 36.7808 36.7715 36.7623 36.753 36.7437 36.7344 36.7252 36.7159 36.7066 36.6973 36.6881 36.6788 36.6695 36.6602 36.651 36.6417 36.6324 36.6231 36.6139 36.6046 36.5953 36.586 36.5767 36.5675 36.5582 36.5489
DoubleConic_SecondaryLV_7_Gold,800 799.2 798.4 797.6 796.8 796 795.2 794.4 793.6 792.8 792 791.2 790.4 789.6 788.8 788 787.2 786.4 785.6 784.8 784 783.2 782.4 781.6 780.8 780 779.2 778.4 777.6 776.8 776 775.2 774.4 773.6 772.8 772 771.2 770.4 769.6 768.8 768 767.2 766.4 765.6 764.8 764 763.2 762.4 761.6 760.8 760 759.2 758.4 757.6 756.8 756 755.2 754.4 753.6 752.8 752 751.2 750.4 749.6 748.8 748 747.2 746.4 745.6 744.8 744 743.2 742.4 741.6 740.8 740 739.2 738.4 737.6 736.8 736 735.2 734.4 733.6 732.8 732 731.2 730.4 729.6 728.8 728 727.2 726.4 725.6 724.8 724 723.2 722.4 721.6 720.8 720 719.2 718.4 717.6 716.8 716 715.2 714.4 713.6 712.8 712 711.2 710.4 709.6 708.8 708 707.2 706.4 705.6 704.8 704 703.2 702.4 701.6 700.8 700,36.5489 36.5211 36.4932 36.4654 36.4376 36.4097 36.3819 36.3541 36.3262 36.2984 36.2705 36.2427 36.2149 36.187 36.1592 36.1314 36.1035 36.0757 36.0478 36.02 35.9922 35.9643 35.9365 35.9087 35.8808 35.853 35.8251 35.7973 35.7695 35.7416 35.7138 35.686 35.6581 35.6303 35.6024 35.5746 35.5468 35.5189 35.4911 35.4632 35.4354 35.4076 35.3797 35.3519 35.3241 35.2962 35.2684 35.2405 35.2127 35.1849 35.157 35.1292 35.1014 35.0735 35.0457 35.0178 34.99 34.9622 34.9343 34.9065 34.8787 34.8508 34.823 34.7951 34.7673 34.7395 34.7116 34.6838 34.656 34.6281 34.6003 34.5724 34.5446 34.5168 34.4889 34.4611 34.4333 34.4054 34.3776 34.3497 34.3219 34.2941 34.2662 34.2384 34.2105 34.1827 34.1549 34.127 34.0992 34.0714 34.0435 34.0157 33.9878 33.96 33.9322 33.9043 33.8765 33.8487 33.8208 33.793 33.7651 33.7373 33.7095 33.6816 33.6538 33.626 33.5981 33.5703 33.5424 33.5146 33.4868 33.4589 33.4311 33.4033 33.3754 33.3476 33.3197 33.2919 33.2641 33.2362 33.2084 33.1806 33.1527 33.1249 33.097 33.0692
DoubleConic_PrimaryLV_8_Gold,900 899.2 898.4 897.6 896.8 896 895.2 894.4 893.6 892.8 892 891.2 890.4 889.6 888.8 888 887.2 886.4 885.6 884.8 884 883.2 882.4 881.6 880.8 880 879.2 878.4 877.6 876.8 876 875.2 874.4 873.6 872.8 872 871.2 870.4 869.6 868.8 868 867.2 866.4 865.6 864.8 864 863.2 862.4 861.6 860.8 860 859.2 858.4 857.6 856.8 856 855.2 854.4 853.6 852.8 852 851.2 850.4 849.6 848.8 848 847.2 846.4 845.6 844.8 844 843.2 842.4 841.6 840.8 840 839.2 838.4 837.6 836.8 836 835.2 834.4 833.6 832.8 832 831.2 830.4 829.6 828.8 828 827.2 826.4 825.6 824.8 824 823.2 822.4 821.6 820.8 820 819.2 818.4 817.6 816.8 816 815.2 814.4 813.6 812.8 812 811.2 810.4 809.6 808.8 808 807.2 806.4 805.6 804.8 804 803.2 802.4 801.6 800.8 800,36.3809 36.372 36.363 36.3541 36.3451 36.3362 36.3272 36.3183 36.3093 36.3004 36.2914 36.2825 36.2735 36.2646 36.2556 36.2467 36.2377 36.2288 36.2198 36.2109 36.2019 36.193 36.184 36.1751 36.1661 36.1572 36.1482 36.1393 36.1303 36.1214 36.1124 36.1035 36.0945 36.0856 36.0766 36.0677 36.0587 36.0498 36.0408 36.0319 36.0229 36.014 36.005 35.9961 35.9871 35.9782 35.9692 35.9603 35.9513 35.9424 35.9334 35.9245 35.9155 35.9066 35.8976 35.8887 35.8797 35.8708 35.8618 35.8529 35.8439 35.835 35.826 35.8171 35.8081 35.7992 35.7902 35.7813 35.7723 35.7634 35.7544 35.7455 35.7365 35.7276 35.7186 35.7097 35.7007 35.6918 35.6828 35.6739 35.6649 35.656 35.647 35.6381 35.6291 35.6202 35.6112 35.6023 35.5933 35.5844 35.5754 35.5665 35.5575 35.5486 35.5396 35.5307 35.5217 35.5128 35.5038 35.4949 35.4859 35.477 35.468 35.4591 35.4501 35.4412 35.4323 35.4233 35.4144 35.4054 35.3965 35.3875 35.3786 35.3696 35.3607 35.3517 35.3428 35.3338 35.3249 35.3159 35.307 35.298 35.2891 35.2801 35.2712 35.2622
DoubleConic_SecondaryLV_8_Gold,800 799.2 798.4 797.6 796.8 796 795.2 794.4 793.6 792.8 792 791.2 790.4 789.6 788.8 788 787.2 786.4 785.6 784.8 784 783.2 782.4 781.6 780.8 780 779.2 778.4 777.6 776.8 776 775.2 774.4 773.6 772.8 772 771.2 770.4 769.6 768.8 768 767.2 766.4 765.6 764.8 764 763.2 762.4 761.6 760.8 760 759.2 758.4 757.6 756.8 756 755.2 754.4 753.6 752.8 752 751.2 750.4 749.6 748.8 748 747.2 746.4 745.6 744.8 744 743.2 742.4 741.6 740.8 740 739.2 738.4 737.6 736.8 736 735.2 734.4 733.6 732.8 732 731.2 730.4 729.6 728.8 728 727.2 726.4 725.6 724.8 724 723.2 722.4 721.6 720.8 720 719.2 718.4 717.6 716.8 716 715.2 714.4 713.6 712.8 712 711.2 710.4 709.6 708.8 708 707.2 706.4 705.6 704.8 704 703.2 702.4 701.6 700.8 700,35.2622 35.2353 35.2085 35.1816 35.1548 35.1279 35.1011 35.0742 35.0473 35.0205 34.9936 34.9668 34.9399 34.913 34.8862 34.8593 34.8325 34.8056 34.7788 34.7519 34.725 34.6982 34.6713 34.6445 34.6176 34.5907 34.5639 34.537 34.5102 34.4833 34.4565 34.4296 34.4027 34.3759 34.349 34.3222 34.2953 34.2684 34.2416 34.2147 34.1879 34.161 34.1342 34.1073 34.0804 34.0536 34.0267 33.9999 33.973 33.9461 33.9193 33.8924 33.8656 33.8387 33.8119 33.785 33.7581 33.7313 33.7044 33.6776 33.6507 33.6238 33.597 33.5701 33.5433 33.5164 33.4896 33.4627 33.4358 33.409 33.3821 33.3553 33.3284 33.3015 33.2747 33.2478 33.221 33.1941 33.1673 33.1404 33.1135 33.0867 33.0598 33.033 33.0061 32.9792 32.9524 32.9255 32.8987 32.8718 32.845 32.8181 32.7912 32.7644 32.7375 32.7107 32.6838 32.6569 32.6301 32.6032 32.5764 32.5495 32.5227 32.4958 32.4689 32.4421 32.4152 32.3884 32.3615 32.3346 32.3078 32.2809 32.2541 32.2272 32.2004 32.1735 32.1466 32.1198 32.0929 32.0661 32.0392 32.0123 31.9855 31.9586 31.9318 31.9049
DoubleConic_PrimaryLV_9_Gold,900 899.2 898.4 897.6 896.8 896 895.2 894.4 893.6 892.8 892 891.2 890.4 889.6 888.8 888 887.2 886.4 885.6 884.8 884 883.2 882.4 881.6 880.8 880 879.2 878.4 877.6 876.8 876 875.2 874.4 873.6 872.8 872 871.2 870.4 869.6 868.8 868 867.2 866.4 865.6 864.8 864 863.2 862.4 861.6 860.8 860 859.2 858.4 857.6 856.8 856 855.2 854.4 853.6 852.8 852 851.2 850.4 849.6 848.8 848 847.2 846.4 845.6 844.8 844 843.2 842.4 841.6 840.8 840 839.2 838.4 837.6 836.8 836 835.2 834.4 833.6 832.8 832 831.2 830.4 829.6 828.8 828 827.2 826.4 825.6 824.8 824 823.2 822.4 821.6 820.8 820 819.2 818.4 817.6 816.8 816 815.2 814.4 813.6 812.8 812 811.2 810.4 809.6 808.8 808 807.2 806.4 805.6 804.8 804 803.2 802.4 801.6 800.8 800,35.0534 35.0448 35.0362 35.0276 35.0189 35.0103 35.0017 34.9931 34.9845 34.9758 34.9672 34.9586 34.95 34.9413 34.9327 34.9241 34.9155 34.9068 34.8982 34.8896 34.881 34.8723 34.8637 34.8551 34.8465 34.8379 34.8292 34.8206 34.812 34.8034 34.7947 34.7861 34.7775 34.7689 34.7602 34.7516 34.743 34.7344 34.7257 34.7171 34.7085 34.6999 34.6913 34.6826 34.674 34.6654 34.6568 34.6481 34.6395 34.6309 34.6223 34.6136 34.605 34.5964 34.5878 34.5791 34.5705 34.5619 34.5533 34.5446 34.536 34.5274 34.5188 34.5102 34.5015 34.4929 34.4843 34.4757 34.467 34.4584 34.4498 34.4412 34.4325 34.4239 34.4153 34.4067 34.398 34.3894 34.3808 34.3722 34.3636 34.3549 34.3463 34.3377 34.3291 34.3204 34.3118 34.3032 34.2946 34.2859 34.2773 34.2687 34.2601 34.2514 34.2428 34.2342 34.2256 34.217 34.2083 34.1997 34.1911 34.1825 34.1738 34.1652 34.1566 34.148 34.1393 34.1307 34.1221 34.1135 34.1048 34.0962 34.0876 34.079 34.0704 34.0617 34.0531 34.0445 34.0359 34.0272 34.0186 34.01 34.0014 33.9927 33.9841 33.9755
DoubleConic_SecondaryLV_9_Gold,800 799.2 798.4 797.6 796.8 796 795.2 794.4 793.6 792.8 792 791.2 790.4 789.6 788.8 788 787.2 786.4 785.6 784.8 784 783.2 782.4 781.6 780.8 780 779.2 778.4 777.6 776.8 776 775.2 774.4 773.6 772.8 772 771.2 770.4 769.6 768.8 768 767.2 766.4 765.6 764.8 764 763.2 762.4 761.6 760.8 760 759.2 758.4 757.6 756.8 756 755.2 754.4 753.6 752.8 752 751.2 750.4 749.6 748.8 748 747.2 746.4 745.6 744.8 744 743.2 742.4 741.6 740.8 740 739.2 738.4 737.6 736.8 736 735.2 734.4 733.6 732.8 732 731.2 730.4 729.6 728.8 728 727.2 726.4 725.6 724.8 724 723.2 722.4 721.6 720.8 720 719.2 718.4 717.6 716.8 716 715.2 714.4 713.6 712.8 712 711.2 710.4 709.6 708.8 708 707.2 706.4 705.6 704.8 704 703.2 702.4 701.6 700.8 700,33.9755 33.9496 33.9237 33.8979 33.872 33.8461 33.8202 33.7943 33.7685 33.7426 33.7167 33.6908 33.6649 33.6391 33.6132 33.5873 33.5614 33.5356 33.5097 33.4838 33.4579 33.432 33.4062 33.3803 33.3544 33.3285 33.3026 33.2768 33.2509 33.225 33.1991 33.1732 33.1474 33.1215 33.0956 33.0697 33.0439 33.018 32.9921 32.9662 32.9403 32.9145 32.8886 32.8627 32.8368 32.8109 32.7851 32.7592 32.7333 32.7074 32.6815 32.6557 32.6298 32.6039 32.578 32.5522 32.5263 32.5004 32.4745 32.4486 32.4228 32.3969 32.371 32.3451 32.3192 32.2934 32.2675 32.2416 32.2157 32.1899 32.164 32.1381 32.1122 32.0863 32.0605 32.0346 32.0087 31.9828 31.9569 31.9311 31.9052 31.8793 31.8534 31.8275 31.8017 31.7758 31.7499 31.724 31.6982 31.6723 31.6464 31.6205 31.5946 31.5688 31.5429 31.517 31.4911 31.4652 31.4394 31.4135 31.3876 31.3617 31.3359 31.31 31.2841 31.2582 31.2323 31.2065 31.1806 31.1547 31.1288 31.1029 31.0771 31.0512 31.0253 30.9994 30.9735 30.9477 30.9218 30.8959 30.87 30.8442 30.8183 30.7924 30.7665 30.7406
DoubleConic_PrimaryLV_10_Gold,900 899.2 898.4 897.6 896.8 896 895.2 894.4 893.6 892.8 892 891.2 890.4 889.6 888.8 888 887.2 886.4 885.6 884.8 884 883.2 882.4 881.6 880.8 880 879.2 878.4 877.6 876.8 876 875.2 874.4 873.6 872.8 872 871.2 870.4 869.6 868.8 868 867.2 866.4 865.6 864.8 864 863.2 862.4 861.6 860.8 860 859.2 858.4 857.6 856.8 856 855.2 854.4 853.6 852.8 852 851.2 850.4 849.6 848.8 848 847.2 846.4 845.6 844.8 844 843.2 842.4 841.6 840.8 840 839.2 838.4 837.6 836.8 836 835.2 834.4 833.6 832.8 832 831.2 830.4 829.6 828.8 828 827.2 826.4 825.6 824.8 824 823.2 822.4 821.6 820.8 820 819.2 818.4 817.6 816.8 816 815.2 814.4 813.6 812.8 812 811.2 810.4 809.6 808.8 808 807.2 806.4 805.6 804.8 804 803.2 802.4 801.6 800.8 800,33.726 33.7177 33.7094 33.7011 33.6928 33.6845 33.6762 33.6679 33.6596 33.6513 33.643 33.6347 33.6264 33.6181 33.6098 33.6015 33.5932 33.5849 33.5766 33.5683 33.56 33.5517 33.5434 33.5351 33.5268 33.5185 33.5102 33.5019 33.4936 33.4853 33.477 33.4687 33.4604 33.4521 33.4438 33.4355 33.4272 33.4189 33.4107 33.4024 33.3941 33.3858 33.3775 33.3692 33.3609 33.3526 33.3443 33.336 33.3277 33.3194 33.3111 33.3028 33.2945 33.2862 33.2779 33.2696 33.2613 33.253 33.2447 33.2364 33.2281 33.2198 33.2115 33.2032 33.1949 33.1866 33.1783 33.17 33.1617 33.1534 33.1451 33.1368 33.1285 33.1202 33.1119 33.1036 33.0954 33.0871 33.0788 33.0705 33.0622 33.0539 33.0456 33.0373 33.029 33.0207 33.0124 33.0041 32.9958 32.9875 32.9792 32.9709 32.9626 32.9543 32.946 32.9377 32.9294 32.9211 32.9128 32.9045 32.8962 32.8879 32.8796 32.8713 32.863 32.8547 32.8464 32.8381 32.8298 32.8215 32.8132 32.8049 32.7966 32.7883 32.7801 32.7718 32.7635 32.7552 32.7469 32.7386 32.7303 32.722 32.7137 32.7054 32.6971 32.6888
