IonEnergy(keV),ProjectedRange(um)
10.00,0.1342
11.00,0.1452
12.00,0.1558
13.00,0.1662
14.00,0.1762
15.00,0.1861
16.00,0.1957
17.00,0.2051
18.00,0.2143
20.00,0.2323
22.50,0.2540
25.00,0.2751
27.50,0.2956
30.00,0.3157
32.50,0.3355
35.00,0.3550
37.50,0.3744
40.00,0.3937
45.00,0.4320
50.00,0.4701
55.00,0.5084
60.00,0.5468
65.00,0.5855
70.00,0.6246
80.00,0.7041
90.00,0.7856
100.00,0.8692
110.00,0.9550
120.00,1.04
130.00,1.13
140.00,1.23
150.00,1.32
160.00,1.42
170.00,1.52
180.00,1.62
200.00,1.83
225.00,2.11
250.00,2.40
275.00,2.70
300.00,3.02
325.00,3.35
350.00,3.69
375.00,4.05
400.00,4.41
450.00,5.18
500.00,5.99
550.00,6.85
600.00,7.75
650.00,8.69
700.00,9.67
800.00,11.74
900.00,13.97
1000.00,16.33